,0
Lux,100.0
Infrared,100.0
Visible,100.0
Full_Spectrum,100.0
Accelerometer_x_axis,100.0
Accelerometer_y_axis,100.0
Accelerometer_z_axis,100.0
Temperature,100.0
Humidity,100.0
Pressure,100.0
All_Cores,100.0
,0
Lux,100.0
Infrared,100.0
Visible,100.0
Full_Spectrum,100.0
Accelerometer_x_axis,100.0
Accelerometer_y_axis,100.0
Accelerometer_z_axis,100.0
Temperature,100.0
Humidity,100.0
Pressure,100.0
All_Cores,100.0
,0
Lux,100.0
Infrared,100.0
Visible,100.0
Full_Spectrum,100.0
Accelerometer_x_axis,100.0
Accelerometer_y_axis,100.0
Accelerometer_z_axis,100.0
Temperature,100.0
Humidity,100.0
Pressure,100.0
All_Cores,100.0
,0
Lux,100.0
Infrared,100.0
Visible,100.0
Full_Spectrum,100.0
Accelerometer_x_axis,100.0
Accelerometer_y_axis,100.0
Accelerometer_z_axis,100.0
Temperature,100.0
Humidity,100.0
Pressure,100.0
All_Cores,100.0
